# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   97       3.509963873589e-10       9.832543819441e-14      -2.845687737560e-12       3.766628365757e-16       1.073340708322e-11       1.335817025985e-12      -7.462459502219e-15 
   98       3.551258404843e-10       1.003673845606e-13      -2.934266690346e-12       3.845490360437e-16       1.045225618997e-11       1.309031934620e-12      -7.378812945774e-15 
   99       3.592822252410e-10       1.023939544856e-13      -3.023083654524e-12       3.925232407404e-16       1.017965293218e-11       1.282936265133e-12      -7.297854164325e-15 
  100       3.634653886107e-10       1.044032680918e-13      -3.112071542789e-12       4.005859822934e-16       9.915464426797e-12       1.257521659880e-12      -7.219882191457e-15 
  101       3.676753223630e-10       1.063934771088e-13      -3.201163721394e-12       4.087378181095e-16       9.659711497881e-12       1.232796128151e-12      -7.144717226532e-15 
  102       3.719118863286e-10       1.083627200353e-13      -3.290292603378e-12       4.169793288466e-16       9.412347653254e-12       1.208761777583e-12      -7.072137772222e-15 
  103       3.761748028804e-10       1.103091228943e-13      -3.379389671886e-12       4.253111188617e-16       9.173256680575e-12       1.185414595410e-12      -7.001879297414e-15 
  104       3.804636514147e-10       1.122307999880e-13      -3.468385503484e-12       4.337338166602e-16       8.942250243410e-12       1.162744229695e-12      -6.933632900112e-15 
  105       3.847778628329e-10       1.141258546533e-13      -3.557209791480e-12       4.422480753444e-16       8.719065477310e-12       1.140733770579e-12      -6.867043970345e-15 
  106       3.891167140221e-10       1.159923800166e-13      -3.645791369234e-12       4.508545730617e-16       8.503362585883e-12       1.119359531513e-12      -6.801710853069e-15 
  107       3.934793223370e-10       1.178284597491e-13      -3.734058233485e-12       4.595540134539e-16       8.294722436863e-12       1.098590830505e-12      -6.737183511074e-15 
  108       3.978646400809e-10       1.196321688221e-13      -3.821937567659e-12       4.683471261054e-16       8.092644158191e-12       1.078389771359e-12      -6.672962187887e-15 
  109       4.022714489872e-10       1.214015742619e-13      -3.909355765194e-12       4.772346669919e-16       7.896542734082e-12       1.058711024913e-12      -6.608496070674e-15 
  110       4.066985690490e-10       1.231347831145e-13      -3.996238950312e-12       4.862174022329e-16       7.705880898943e-12       1.039512697987e-12      -6.543303003519e-15 
