# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   58       2.142283942534e-10       2.553585339297e-14      -1.763981660484e-13       1.351749646545e-16       3.782373356252e-11       4.297181739744e-12      -1.059665695135e-14 
   59       2.171594708753e-10       2.689721930237e-14      -2.160773644003e-13       1.398969021454e-16       3.638672045801e-11       4.154444407490e-12      -1.086461669024e-14 
   60       2.201208519971e-10       2.829785568304e-14      -2.576290234755e-13       1.446999639853e-16       3.501735904870e-11       4.018489941053e-12      -1.099800114990e-14 
   61       2.231136872741e-10       2.973707991598e-14      -3.010243147501e-13       1.495840703290e-16       3.371517653595e-11       3.889194168830e-12      -1.101933722333e-14 
   62       2.261382295554e-10       3.121409414679e-14      -3.462281612559e-13       1.545491369983e-16       3.247797144134e-11       3.766245289081e-12      -1.095544743894e-14 
   63       2.291937713288e-10       3.272798173008e-14      -3.931990528354e-13       1.595950755711e-16       3.130171331022e-11       3.649133132006e-12      -1.083764090869e-14 
   64       2.322785811649e-10       3.427770367384e-14      -4.418888613973e-13       1.647217934706e-16       3.018044241524e-11       3.537138421813e-12      -1.070190427607e-14 
   65       2.353907967847e-10       3.586221065068e-14      -4.922528521007e-13       1.699292069955e-16       2.910791203050e-11       3.429531299144e-12      -1.058089695770e-14 
   66       2.385314668479e-10       3.748081459023e-14      -5.442825961678e-13       1.752172834153e-16       2.808314478738e-11       3.326239874404e-12      -1.047753756726e-14 
   67       2.417020416553e-10       3.913288966010e-14      -5.979797187822e-13       1.805860079759e-16       2.710587724651e-11       3.227304485778e-12      -1.038614836203e-14 
   68       2.449034372599e-10       4.081776332612e-14      -6.533464167972e-13       1.860353721881e-16       2.617487057198e-11       3.132676139284e-12      -1.030011975835e-14 
   69       2.481359986708e-10       4.253471602940e-14      -7.103855591908e-13       1.915653742792e-16       2.528785897806e-11       3.042211624281e-12      -1.021187202908e-14 
   70       2.513994630565e-10       4.428298086331e-14      -7.691007875227e-13       1.971760196443e-16       2.444149817606e-11       2.955668628981e-12      -1.011281700115e-14 
   71       2.546929229476e-10       4.606174325044e-14      -8.294966163895e-13       2.028673212970e-16       2.363131382108e-11       2.872700855957e-12      -9.993319753082e-15 
   72       2.580154069273e-10       4.787010367528e-14      -8.915713611388e-13       2.086393109560e-16       2.285285124114e-11       2.792952120408e-12      -9.845458154254e-15 
   73       2.613678325132e-10       4.970695831798e-14      -9.552941261584e-13       2.144920737645e-16       2.210549468257e-11       2.716370410095e-12      -9.671999830306e-15 
   74       2.647513633786e-10       5.157109481782e-14      -1.020623560464e-12       2.204257210817e-16       2.138929141711e-11       2.642945562830e-12      -9.479087129919e-15 
   75       2.681668027673e-10       5.346122604091e-14      -1.087514576839e-12       2.264403811203e-16       2.070379169953e-11       2.572613045162e-12      -9.273617100027e-15 
   76       2.716145707943e-10       5.537598891366e-14      -1.155918288528e-12       2.325361996406e-16       2.004802464089e-11       2.505251327766e-12      -9.063267061007e-15 
   77       2.750946817477e-10       5.731394325632e-14      -1.225781945934e-12       2.387133406443e-16       1.942047408192e-11       2.440679260834e-12      -8.856520181869e-15 
   78       2.786067213889e-10       5.927357061654e-14      -1.297048873307e-12       2.449719870688e-16       1.881905446633e-11       2.378653449466e-12      -8.662691055448e-15 
   79       2.821498242545e-10       6.125327310286e-14      -1.369658405449e-12       2.513123414812e-16       1.824108671412e-11       2.318865629056e-12      -8.491951273591e-15 
   80       2.857231302104e-10       6.325142491771e-14      -1.443550653450e-12       2.577346216197e-16       1.768396302644e-11       2.261019419176e-12      -8.352943589671e-15 
   81       2.893272953625e-10       6.526653982923e-14      -1.518681894369e-12       2.642390446008e-16       1.714732733974e-11       2.205081710112e-12      -8.245090973217e-15 
   82       2.929632033314e-10       6.729713079036e-14      -1.595011751166e-12       2.708258412232e-16       1.663123127166e-11       2.151070346760e-12      -8.164992333589e-15 
   83       2.966314956941e-10       6.934165963500e-14      -1.672498626758e-12       2.774952614665e-16       1.613546762957e-11       2.098977490928e-12      -8.108696514206e-15 
   84       3.003325581603e-10       7.139853688748e-14      -1.751099730138e-12       2.842475750898e-16       1.565955904184e-11       2.048768466693e-12      -8.071683211949e-15 
   85       3.040665067487e-10       7.346612157197e-14      -1.830771102497e-12       2.910830722297e-16       1.520274658922e-11       2.000380605768e-12      -8.048843896559e-15 
   86       3.078331739629e-10       7.554272102192e-14      -1.911467643345e-12       2.980020639996e-16       1.476397843608e-11       1.953722092863e-12      -8.034462730037e-15 
   87       3.116320949681e-10       7.762659068953e-14      -1.993143136635e-12       3.050048830880e-16       1.434189846179e-11       1.908670811047e-12      -8.022197486044e-15 
   88       3.154624937669e-10       7.971593395516e-14      -2.075750276880e-12       3.120918843568e-16       1.393483489203e-11       1.865073187109e-12      -8.005060469301e-15 
   89       3.193235870378e-10       8.180892714176e-14      -2.159239396531e-12       3.192634340464e-16       1.354119811995e-11       1.822782390728e-12      -7.976917757604e-15 
   90       3.232155804050e-10       8.390379947032e-14      -2.243554362362e-12       3.265198741426e-16       1.316077046935e-11       1.781782316106e-12      -7.937298045963e-15 
   91       3.271388037092e-10       8.599876535408e-14      -2.328636080490e-12       3.338615534965e-16       1.279359874888e-11       1.742081012181e-12      -7.887306508549e-15 
   92       3.310933983191e-10       8.809200049456e-14      -2.414423744396e-12       3.412888391432e-16       1.243959790766e-11       1.703672502985e-12      -7.828177243790e-15 
   93       3.350793080671e-10       9.018164206857e-14      -2.500854841583e-12       3.488021167298e-16       1.209854579684e-11       1.666536222575e-12      -7.761276940170e-15 
   94       3.390962701842e-10       9.226578891529e-14      -2.587865160244e-12       3.564017909429e-16       1.177007793108e-11       1.630636449968e-12      -7.688108542041e-15 
   95       3.431438062353e-10       9.434250172329e-14      -2.675388795929e-12       3.640882859368e-16       1.145368225005e-11       1.595921744068e-12      -7.610314915420e-15 
   96       3.472212130543e-10       9.640980321757e-14      -2.763358158203e-12       3.718620457615e-16       1.114869387993e-11       1.562324378605e-12      -7.529682513806e-15 
   97       3.513275536796e-10       9.846567834665e-14      -2.851703977319e-12       3.797235347901e-16       1.085428989493e-11       1.529759777063e-12      -7.448145043976e-15 
   98       3.554616482887e-10       1.005080744695e-13      -2.940355310875e-12       3.876732381473e-16       1.056948407879e-11       1.498125947611e-12      -7.367787131798e-15 
   99       3.596223655808e-10       1.025349486600e-13      -3.029240924155e-12       3.957116647406e-16       1.029335279720e-11       1.467327985427e-12      -7.290427482255e-15 
