# Matter power spectrum P(k) at redshift z=0
# for k=1.02324e-05 to 5.25887 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.117043329454e-02       2.547854586136e+04 
       2.130001899384e-02       2.542686530001e+04 
       2.142969014479e-02       2.537435992510e+04 
       2.155944844619e-02       2.532099137696e+04 
       2.168929563801e-02       2.526677099118e+04 
       2.181923350244e-02       2.521170094971e+04 
       2.194926386476e-02       2.515588646075e+04 
       2.207938859443e-02       2.509922194006e+04 
       2.220960960613e-02       2.504183327876e+04 
       2.233992886077e-02       2.498363274956e+04 
       2.247034836671e-02       2.492475122678e+04 
       2.260087018080e-02       2.486507587549e+04 
       2.273149640963e-02       2.480476987961e+04 
       2.286222921075e-02       2.474369298676e+04 
       2.299307079386e-02       2.468195619503e+04 
       2.312402342221e-02       2.461957027822e+04 
       2.325508941385e-02       2.455650769292e+04 
       2.338627114307e-02       2.449279242252e+04 
       2.351757104180e-02       2.442852557893e+04 
       2.364899160107e-02       2.436360392049e+04 
       2.378053537259e-02       2.429807914392e+04 
       2.391220497023e-02       2.423204787122e+04 
       2.404400307171e-02       2.416528856295e+04 
       2.417593242023e-02       2.409809152775e+04 
       2.430799582624e-02       2.403025827522e+04 
       2.444019616916e-02       2.396208336767e+04 
       2.457253639928e-02       2.389328110151e+04 
       2.470501953965e-02       2.382406786462e+04 
       2.483764868802e-02       2.375431245431e+04 
       2.497042701888e-02       2.368406742414e+04 
       2.510335778561e-02       2.361336772344e+04 
       2.523644432257e-02       2.354221527514e+04 
       2.536969004741e-02       2.347066656701e+04 
       2.550309846337e-02       2.339866467955e+04 
       2.563667316168e-02       2.332627831534e+04 
       2.577041782406e-02       2.325346409466e+04 
       2.590433622527e-02       2.318033317620e+04 
       2.603843223578e-02       2.310671765442e+04 
       2.617270982455e-02       2.303290686437e+04 
       2.630717306185e-02       2.295861431291e+04 
       2.644182612225e-02       2.288400574645e+04 
       2.657667328766e-02       2.280915223378e+04 
       2.671171895050e-02       2.273387100526e+04 
       2.684696761703e-02       2.265832356959e+04 
       2.698242391069e-02       2.258250998109e+04 
       2.711809257573e-02       2.250640570838e+04 
       2.725397848079e-02       2.242996951449e+04 
       2.739008662277e-02       2.235333170845e+04 
       2.752642213074e-02       2.227643083857e+04 
       2.766299027006e-02       2.219929739962e+04 
       2.779979644666e-02       2.212194173021e+04 
       2.793684621141e-02       2.204432259409e+04 
       2.807414526475e-02       2.196650980345e+04 
       2.821169946148e-02       2.188846636853e+04 
       2.834951481569e-02       2.181028304401e+04 
       2.848759750593e-02       2.173187941684e+04 
       2.862595388062e-02       2.165327910909e+04 
       2.876459046357e-02       2.157455302058e+04 
       2.890351395985e-02       2.149563980806e+04 
       2.904273126183e-02       2.141656806951e+04 
       2.918224945547e-02       2.133736941711e+04 
       2.932207582692e-02       2.125805270415e+04 
       2.946221786934e-02       2.117855278956e+04 
       2.960268329005e-02       2.109896929958e+04 
       2.974348001799e-02       2.101925510879e+04 
       2.988461621145e-02       2.093944064921e+04 
       3.002610026624e-02       2.085952626798e+04 
       3.016794082409e-02       2.077945775710e+04 
       3.031014678151e-02       2.069945147919e+04 
       3.045272729906e-02       2.061926932613e+04 
       3.059569181096e-02       2.053901607416e+04 
       3.073905003522e-02       2.045867153239e+04 
       3.088281198418e-02       2.037833506188e+04 
       3.102698797558e-02       2.029788141310e+04 
       3.117158864411e-02       2.021741573082e+04 
       3.131662495354e-02       2.013693746632e+04 
       3.146210820945e-02       2.005635678124e+04 
       3.160805007248e-02       1.997581610398e+04 
       3.175446257237e-02       1.989515753486e+04 
       3.190135812252e-02       1.981456829762e+04 
       3.204874953547e-02       1.973385735403e+04 
       3.219665003895e-02       1.965323751858e+04 
       3.234507329296e-02       1.957259896634e+04 
       3.249403340749e-02       1.949195797193e+04 
       3.264354496140e-02       1.941126455400e+04 
       3.279362302209e-02       1.933059745001e+04 
       3.294428316631e-02       1.924993493201e+04 
       3.309554150208e-02       1.916933729977e+04 
       3.324741469176e-02       1.908864760859e+04 
       3.339991997638e-02       1.900806026104e+04 
       3.355307520135e-02       1.892757809604e+04 
       3.370689884357e-02       1.884699097413e+04 
       3.386141004007e-02       1.876649864860e+04 
       3.401662861830e-02       1.868599714632e+04 
       3.417257512814e-02       1.860553778079e+04 
