# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  141       5.489950030623e-10       1.505325312073e-13      -6.008153495443e-12       8.110324983000e-16       3.854222216202e-12       6.362459481523e-13      -4.563690070787e-15 
  142       5.535732659263e-10       1.504303266165e-13      -6.039140507684e-12       8.234205305412e-16       3.777242258298e-12       6.271282851339e-13      -4.501802666462e-15 
  143       5.581374082475e-10       1.502630000390e-13      -6.067311266504e-12       8.359295394376e-16       3.702286175320e-12       6.181767588555e-13      -4.438854230563e-15 
  144       5.626862188798e-10       1.500310263147e-13      -6.092612130747e-12       8.485601963731e-16       3.629318905140e-12       6.093900254233e-13      -4.374957726164e-15 
  145       5.672184345985e-10       1.497349733446e-13      -6.114990671338e-12       8.613131691899e-16       3.558296250369e-12       6.007658913088e-13      -4.310230886900e-15 
  146       5.717327389872e-10       1.493755038671e-13      -6.134395711168e-12       8.741891219758e-16       3.489164667127e-12       5.923012925348e-13      -4.244796278628e-15 
  147       5.762277613248e-10       1.489533772346e-13      -6.150777364961e-12       8.871887148516e-16       3.421861053811e-12       5.839922738610e-13      -4.178781361080e-15 
  148       5.807020754719e-10       1.484694511907e-13      -6.164087079151e-12       9.003126037592e-16       3.356312539862e-12       5.758339679697e-13      -4.112318549515e-15 
  149       5.851541987579e-10       1.479246836460e-13      -6.174277671755e-12       9.135614402489e-16       3.292436274538e-12       5.678205746514e-13      -4.045545276381e-15 
  150       5.895825908673e-10       1.473201344554e-13      -6.181303372250e-12       9.269358712670e-16       3.230139215677e-12       5.599453399905e-13      -3.978604052964e-15 
  151       5.939856527270e-10       1.466569671945e-13      -6.185119861442e-12       9.404365389436e-16       3.169317918472e-12       5.522005355510e-13      -3.911642531046e-15 
  152       5.983617253928e-10       1.459364509363e-13      -6.185684311348e-12       9.540640803800e-16       3.109858324234e-12       5.445774375620e-13      -3.844813564557e-15 
  153       6.027092105110e-10       1.451599447429e-13      -6.182955615836e-12       9.678190769648e-16       3.051659337083e-12       5.370684353248e-13      -3.778252045429e-15 
  154       6.070269466444e-10       1.443288457806e-13      -6.176895022781e-12       9.817018974676e-16       2.994706464091e-12       5.296736207258e-13      -3.712002858978e-15 
  155       6.113138659609e-10       1.434446397479e-13      -6.167465636962e-12       9.957128398901e-16       2.939004648166e-12       5.223947742997e-13      -3.646086319280e-15 
  156       6.155688753127e-10       1.425089194013e-13      -6.154632275072e-12       1.009852180161e-15       2.884555005894e-12       5.152332811618e-13      -3.580520737055e-15 
  157       6.197908557419e-10       1.415233862439e-13      -6.138361506565e-12       1.024120171669e-15       2.831354737466e-12       5.081901210373e-13      -3.515322363026e-15 
