# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   60       2.198862115885e-10       2.827205555421e-14      -2.584093768317e-13       1.424763535256e-16       3.436028772412e-11       3.502446999763e-12      -1.088505167313e-14 
   61       2.228801292952e-10       2.970770445423e-14      -3.018098521521e-13       1.472860445741e-16       3.308432553232e-11       3.390841501402e-12      -1.089029479487e-14 
   62       2.259021677458e-10       3.118090849107e-14      -3.470147863931e-13       1.521754924627e-16       3.187193186356e-11       3.285467881306e-12      -1.081735266761e-14 
   63       2.289525153906e-10       3.269093291679e-14      -3.939772385594e-13       1.571446164126e-16       3.071916931674e-11       3.185442955849e-12      -1.069886609773e-14 
   64       2.320304859947e-10       3.423694467553e-14      -4.426429933844e-13       1.621933322358e-16       2.962021209945e-11       3.089639587882e-12      -1.057225210088e-14 
   65       2.351352089390e-10       3.581807057224e-14      -4.929623011178e-13       1.673215656877e-16       2.856895297621e-11       2.996975727861e-12      -1.047104590957e-14 
   66       2.382679986148e-10       3.743359196305e-14      -5.449284583881e-13       1.725292955580e-16       2.756444023002e-11       2.907379290669e-12      -1.039636037347e-14 
   67       2.414303859853e-10       3.908278675051e-14      -5.985470468395e-13       1.778165199380e-16       2.660642002509e-11       2.821007053433e-12      -1.033971082524e-14 
   68       2.446233796695e-10       4.076487134727e-14      -6.538248262535e-13       1.831832442625e-16       2.569368331238e-11       2.737958436767e-12      -1.029128082673e-14 
   69       2.478474296125e-10       4.247899976485e-14      -7.107698588048e-13       1.886294817950e-16       2.482401533112e-11       2.658272076531e-12      -1.023986841823e-14 
   70       2.511023907539e-10       4.422426270216e-14      -7.693916333170e-13       1.941552541122e-16       2.399414511023e-11       2.581922395599e-12      -1.017283236767e-14 
   71       2.543874866975e-10       4.599968663425e-14      -8.297011895180e-13       1.997605915897e-16       2.319969496986e-11       2.508816175617e-12      -1.007603841987e-14 
