# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  104       3.804878869442e-10       1.120330334850e-13      -3.477518640685e-12       0.000000000000e+00       9.040151144457e-12       1.325793334325e-12      -6.946901592941e-15 
  105       3.848042917660e-10       1.139225353741e-13      -3.566585164288e-12       0.000000000000e+00       8.814158616686e-12       1.299931532844e-12      -6.884651144809e-15 
  106       3.891454825855e-10       1.157832689655e-13      -3.655411102435e-12       0.000000000000e+00       8.595755089930e-12       1.274833431399e-12      -6.823590965494e-15 
  107       3.935106387171e-10       1.176133055717e-13      -3.743924246750e-12       0.000000000000e+00       8.384514868847e-12       1.250460639018e-12      -6.763206173328e-15 
  108       3.978987787460e-10       1.194107073838e-13      -3.832051564152e-12       0.000000000000e+00       8.179929366386e-12       1.226766101091e-12      -6.702927864103e-15 
  109       4.023087551071e-10       1.211735282201e-13      -3.919719219950e-12       0.000000000000e+00       7.981404666635e-12       1.203693838152e-12      -6.642131679842e-15 
  110       4.067394481396e-10       1.228998624941e-13      -4.006853107120e-12       0.000000000000e+00       7.788395334640e-12       1.181192024140e-12      -6.580265999145e-15 
  111       4.111903881065e-10       1.245879976354e-13      -4.093380461535e-12       0.000000000000e+00       7.600830537900e-12       1.159254683925e-12      -6.517258224749e-15 
  112       4.156612030064e-10       1.262362826671e-13      -4.179228497647e-12       0.000000000000e+00       7.418738151920e-12       1.137884868133e-12      -6.453158055395e-15 
  113       4.201514227938e-10       1.278430829393e-13      -4.264323948558e-12       0.000000000000e+00       7.242112302612e-12       1.117081662058e-12      -6.388012356756e-15 
  114       4.246604759190e-10       1.294067813514e-13      -4.348593094096e-12       0.000000000000e+00       7.070912268181e-12       1.096840055537e-12      -6.321865004123e-15 
  115       4.291876858684e-10       1.309257795749e-13      -4.431961788901e-12       0.000000000000e+00       6.905061381006e-12       1.077150812837e-12      -6.254756725094e-15 
  116       4.337322677037e-10       1.323984992758e-13      -4.514355490495e-12       0.000000000000e+00       6.744445929529e-12       1.058000342530e-12      -6.186724942262e-15 
