# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   80       2.851938814298e-10       6.291262165887e-14      -1.439332389699e-12       0.000000000000e+00       1.747071332618e-11       1.957318931205e-12      -8.282741820629e-15 
   81       2.887934014236e-10       6.492075698884e-14      -1.514388959913e-12       0.000000000000e+00       1.694162106227e-11       1.909669727355e-12      -8.179063817489e-15 
   82       2.924240534597e-10       6.694446124667e-14      -1.590645171527e-12       0.000000000000e+00       1.643274027705e-11       1.863652007983e-12      -8.105374489265e-15 
   83       2.960865219520e-10       6.898219993486e-14      -1.668060611748e-12       0.000000000000e+00       1.594386876452e-11       1.819263789501e-12      -8.057306124259e-15 
   84       2.997812434378e-10       7.103238681509e-14      -1.746593781052e-12       0.000000000000e+00       1.547453824984e-11       1.776480644238e-12      -8.029870811992e-15 
   85       3.035083930374e-10       7.309338369832e-14      -1.826202122464e-12       0.000000000000e+00       1.502400319011e-11       1.735254728267e-12      -8.017439740150e-15 
   86       3.072678709139e-10       7.516350023490e-14      -1.906842050820e-12       0.000000000000e+00       1.459122957518e-11       1.695513809242e-12      -8.013722491543e-15 
   87       3.110592887333e-10       7.724099370470e-14      -1.988468982040e-12       0.000000000000e+00       1.417488372837e-11       1.657160294227e-12      -8.011746341051e-15 
   88       3.148819561237e-10       7.932406880717e-14      -2.071037362398e-12       0.000000000000e+00       1.377332110727e-11       1.620070257530e-12      -8.003835552579e-15 
   89       3.187351743058e-10       8.141090314859e-14      -2.154499085944e-12       0.000000000000e+00       1.338497797651e-11       1.584124178779e-12      -7.983252823375e-15 
   90       3.226191992855e-10       8.349972874311e-14      -2.238798398454e-12       0.000000000000e+00       1.300964125101e-11       1.549306802212e-12      -7.949463836117e-15 
