# Matter power spectrum P(k) at redshift z=0
# for k=1.0298e-05 to 5.18431 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.266349832578e-02       2.456551370532e+04 
       2.279497589649e-02       2.450709695230e+04 
       2.292655914121e-02       2.444799798440e+04 
       2.305825024694e-02       2.438818160044e+04 
       2.319005145360e-02       2.432773975450e+04 
       2.332196505528e-02       2.426661228599e+04 
       2.345399340168e-02       2.420483794848e+04 
       2.358613889944e-02       2.414245274839e+04 
       2.371840401365e-02       2.407941885922e+04 
       2.385079126930e-02       2.401578976394e+04 
       2.398330325285e-02       2.395160438849e+04 
       2.411594261380e-02       2.388686071725e+04 
       2.424871206636e-02       2.382144684483e+04 
       2.438161439114e-02       2.375562832278e+04 
       2.451465243688e-02       2.368917877964e+04 
       2.464782912231e-02       2.362224132338e+04 
       2.478114743796e-02       2.355482227280e+04 
       2.491461044815e-02       2.348687983505e+04 
       2.504822129295e-02       2.341852508211e+04 
       2.518198319027e-02       2.334960086801e+04 
       2.531589943796e-02       2.328025961861e+04 
       2.544997341607e-02       2.321047946456e+04 
       2.558420858907e-02       2.314032633650e+04 
       2.571860850826e-02       2.306965838820e+04 
       2.585317681418e-02       2.299864261381e+04 
       2.598791723916e-02       2.292725944262e+04 
       2.612283360991e-02       2.285543623249e+04 
       2.625792985024e-02       2.278327463063e+04 
       2.639320998386e-02       2.271075983019e+04 
       2.652867813730e-02       2.263786449115e+04 
       2.666433854288e-02       2.256470728690e+04 
       2.680019554183e-02       2.249115877463e+04 
       2.693625358755e-02       2.241734133474e+04 
       2.707251724894e-02       2.234317571428e+04 
       2.720899121382e-02       2.226880823664e+04 
       2.734568029261e-02       2.219407247135e+04 
       2.748258942199e-02       2.211904319135e+04 
       2.761972366882e-02       2.204379445701e+04 
       2.775708823413e-02       2.196828024483e+04 
       2.789468845728e-02       2.189254524451e+04 
       2.803252982033e-02       2.181661452769e+04 
       2.817061795251e-02       2.174032416106e+04 
       2.830895863490e-02       2.166392628112e+04 
       2.844755780531e-02       2.158736769019e+04 
       2.858642156327e-02       2.151054784274e+04 
       2.872555617537e-02       2.143352268573e+04 
       2.886496808065e-02       2.135638811850e+04 
       2.900466389632e-02       2.127898874409e+04 
       2.914465042369e-02       2.120150029941e+04 
       2.928493465429e-02       2.112386841693e+04 
       2.942552377633e-02       2.104601572095e+04 
       2.956642518138e-02       2.096810131400e+04 
       2.970764647131e-02       2.088998944961e+04 
       2.984919546562e-02       2.081177006437e+04 
       2.999108020896e-02       2.073347853896e+04 
       3.013330897907e-02       2.065506189481e+04 
       3.027589029503e-02       2.057652895463e+04 
       3.041883292589e-02       2.049790537894e+04 
       3.056214589967e-02       2.041919020326e+04 
       3.070583851277e-02       2.034040813964e+04 
       3.084992033979e-02       2.026158122285e+04 
       3.099440124386e-02       2.018266475734e+04 
       3.113929138734e-02       2.010368244132e+04 
       3.128460124317e-02       2.002458050813e+04 
       3.143034160656e-02       1.994548693102e+04 
       3.157652360744e-02       1.986634333445e+04 
       3.172315872335e-02       1.978717255764e+04 
       3.187025879303e-02       1.970787281228e+04 
       3.201783603067e-02       1.962869471516e+04 
       3.216590304084e-02       1.954941480773e+04 
       3.231447283416e-02       1.947011520009e+04 
       3.246355884380e-02       1.939080221723e+04 
       3.261317494280e-02       1.931150918324e+04 
       3.276333546225e-02       1.923218838882e+04 
       3.291405521045e-02       1.915281957004e+04 
       3.306534949308e-02       1.907354504592e+04 
       3.321723413437e-02       1.899422478680e+04 
       3.336972549954e-02       1.891493797681e+04 
       3.352284051829e-02       1.883569019163e+04 
       3.367659670972e-02       1.875643224089e+04 
       3.383101220851e-02       1.867714911445e+04 
       3.398610579268e-02       1.859792750961e+04 
       3.414189691280e-02       1.851867945073e+04 
       3.429840572298e-02       1.843956280607e+04 
       3.445565311357e-02       1.836040734449e+04 
       3.461366074581e-02       1.828134173463e+04 
       3.477245108855e-02       1.820219637458e+04 
       3.493204745711e-02       1.812321311177e+04 
       3.509247405454e-02       1.804421696874e+04 
       3.525375601541e-02       1.796524815853e+04 
       3.541591945227e-02       1.788632990819e+04 
       3.557899150511e-02       1.780749098468e+04 
       3.574300039386e-02       1.772861689776e+04 
       3.590797547436e-02       1.764986657590e+04 
       3.607394729794e-02       1.757112958110e+04 
       3.624094767489e-02       1.749244535640e+04 
       3.640900974228e-02       1.741374652280e+04 
       3.657816803628e-02       1.733514663849e+04 
       3.674845856947e-02       1.725661190250e+04 
       3.691991891355e-02       1.717806566214e+04 
       3.709258828785e-02       1.709961975174e+04 
       3.726650765419e-02       1.702117679599e+04 
       3.744171981861e-02       1.694279716136e+04 
       3.761826954053e-02       1.686441131405e+04 
       3.779620365014e-02       1.678610852888e+04 
       3.797557117459e-02       1.670783299252e+04 
       3.815642347386e-02       1.662960678897e+04 
       3.833881438727e-02       1.655136257760e+04 
       3.852280039151e-02       1.647317281240e+04 
       3.870844077139e-02       1.639502748761e+04 
       3.889579780447e-02       1.631687365643e+04 
       3.908493696099e-02       1.623874019424e+04 
       3.927592712063e-02       1.616063966066e+04 
       3.946884080777e-02       1.608250468755e+04 
       3.966375444714e-02       1.600441722957e+04 
       3.986074864215e-02       1.592624649336e+04 
       4.005990847811e-02       1.584817492189e+04 
       4.026132385318e-02       1.577000037376e+04 
       4.046508984012e-02       1.569186784223e+04 
       4.067130708214e-02       1.561366492969e+04 
       4.088008222699e-02       1.553542555326e+04 
       4.109152840352e-02       1.545716251785e+04 
       4.130576574587e-02       1.537880466655e+04 
       4.152292197096e-02       1.530039360139e+04 
       4.174313301592e-02       1.522192536383e+04 
       4.196654374292e-02       1.514337580127e+04 
       4.219330871991e-02       1.506469481873e+04 
       4.242359308743e-02       1.498590765953e+04 
       4.265757352262e-02       1.490698981467e+04 
       4.289543931381e-02       1.482796400353e+04 
       4.313739356092e-02       1.474877983816e+04 
       4.338365451955e-02       1.466943321478e+04 
       4.363445710935e-02       1.458988160216e+04 
       4.389005461111e-02       1.451015853691e+04 
       4.415072058086e-02       1.443014841100e+04 
       4.441675101472e-02       1.434992220639e+04 
       4.468846680377e-02       1.426944126434e+04 
       4.496621652613e-02       1.418863153100e+04 
       4.525037963180e-02       1.410751135477e+04 
       4.554137008700e-02       1.402600870859e+04 
       4.583964055767e-02       1.394414819288e+04 
       4.614568722811e-02       1.386181432700e+04 
       4.646005537071e-02       1.377907354299e+04 
       4.678334580732e-02       1.369581625913e+04 
       4.711622243331e-02       1.361201579372e+04 
       4.745942101388e-02       1.352760063510e+04 
       4.781375950963e-02       1.344252493292e+04 
       4.818015024872e-02       1.335670888579e+04 
       4.855961433882e-02       1.327011210518e+04 
       4.895329880799e-02       1.318263440204e+04 
       4.936249708582e-02       1.309421787858e+04 
       4.978867359144e-02       1.300465111230e+04 
       5.023349339309e-02       1.291396880927e+04 
       5.069885815638e-02       1.282197743800e+04 
       5.118694991915e-02       1.272848739346e+04 
       5.170028463609e-02       1.263332849788e+04 
       5.224177794199e-02       1.253633545343e+04 
       5.281482620119e-02       1.243719955908e+04 
       5.342340663851e-02       1.233551173559e+04 
       5.407220114483e-02       1.223103986096e+04 
       5.476674909642e-02       1.212321364138e+04 
       5.551363492834e-02       1.201146100277e+04 
       5.632071562441e-02       1.189494317682e+04 
       5.719739043995e-02       1.177270688846e+04 
       5.815490756820e-02       1.164343707104e+04 
       5.920668556547e-02       1.150533363238e+04 
       6.036859359938e-02       1.135610698618e+04 
       6.165907323594e-02       1.119259800880e+04 
       6.309888567636e-02       1.101067706087e+04 
       6.471013958632e-02       1.080495549796e+04 
       6.651416185280e-02       1.056881322074e+04 
       6.852790136640e-02       1.029472494230e+04 
       7.075919309459e-02       9.975533650019e+03 
       7.320242593674e-02       9.606489654960e+03 
       7.583715226130e-02       9.187866357634e+03 
       7.863137135037e-02       8.726783181993e+03 
       8.154835433090e-02       8.237083852557e+03 
       8.455355705838e-02       7.737146995028e+03 
       8.761880367274e-02       7.246600742470e+03 
       9.072332890751e-02       6.783302974814e+03 
       9.385285993000e-02       6.361148969483e+03 
       9.699802970605e-02       5.989048682148e+03 
       1.001528710210e-01       5.670825365695e+03 
       1.033136530315e-01       5.405681246246e+03 
       1.064780700206e-01       5.189046298573e+03 
       1.096447070674e-01       5.013512585938e+03 
       1.128126995612e-01       4.869839415525e+03 
       1.159815204510e-01       4.747866876137e+03 
       1.191508488592e-01       4.637486178015e+03 
       1.223204895137e-01       4.529428822225e+03 
       1.254903235519e-01       4.416163771215e+03 
       1.286602785566e-01       4.292400066313e+03 
       1.318303103343e-01       4.155464242166e+03 
       1.350003918430e-01       4.005258788645e+03 
       1.381705064682e-01       3.844005290586e+03 
       1.413406439393e-01       3.675617089795e+03 
       1.445107978507e-01       3.505032008256e+03 
       1.476809641559e-01       3.337474035555e+03 
