# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   50       1.912981598101e-10       1.596470525730e-14       7.461989566152e-14       0.000000000000e+00       5.155053609442e-11       5.041222406880e-12      -8.834443170519e-15 
   51       1.940160326352e-10       1.700509497772e-14       4.938417380751e-14       0.000000000000e+00       4.937738090489e-11       4.850770366863e-12      -8.672770429917e-15 
   52       1.967595608962e-10       1.808476083805e-14       2.240916822562e-14       0.000000000000e+00       4.732478831568e-11       4.669379200388e-12      -8.579354829236e-15 
   53       1.995288984580e-10       1.920362345755e-14      -6.299465048677e-15       0.000000000000e+00       4.537675582500e-11       4.495551159540e-12      -8.660824877664e-15 
   54       2.023261445012e-10       2.036175277022e-14      -3.676260101571e-14       0.000000000000e+00       4.353112406338e-11       4.329406380032e-12      -8.909110337594e-15 
   55       2.051530376340e-10       2.155922489689e-14      -6.900877282203e-14       0.000000000000e+00       4.178723032879e-11       4.171358751843e-12      -9.278937621525e-15 
   56       2.080100354385e-10       2.279606830424e-14      -1.030672343184e-13       0.000000000000e+00       4.014119245417e-11       4.021614768852e-12      -9.716349797498e-15 
   57       2.108962126824e-10       2.407226272426e-14      -1.389680753821e-13       0.000000000000e+00       3.858570150788e-11       3.880158684239e-12      -1.015828659048e-14 
   58       2.138091595303e-10       2.538773807379e-14      -1.767423372393e-13       0.000000000000e+00       3.710981449409e-11       3.746737665892e-12      -1.053216438376e-14 
   59       2.167461941693e-10       2.674232823002e-14      -2.164125315370e-13       0.000000000000e+00       3.570196564368e-11       3.620935451113e-12      -1.077356485200e-14 
   60       2.197085607126e-10       2.813562227592e-14      -2.579613645409e-13       0.000000000000e+00       3.436028772412e-11       3.502446999763e-12      -1.088505167313e-14 
   61       2.226980280100e-10       2.956707673848e-14      -3.013559406730e-13       0.000000000000e+00       3.308432553232e-11       3.390841501402e-12      -1.089029479487e-14 
   62       2.257156048873e-10       3.103605513783e-14      -3.465565144593e-13       0.000000000000e+00       3.187193186356e-11       3.285467881306e-12      -1.081735266761e-14 
   63       2.287614829145e-10       3.254182537628e-14      -3.935162805555e-13       0.000000000000e+00       3.071916931674e-11       3.185442955849e-12      -1.069886609773e-14 
   64       2.318349791734e-10       3.408355712764e-14      -4.421811637731e-13       0.000000000000e+00       2.962021209945e-11       3.089639587882e-12      -1.057225210088e-14 
   65       2.349352266952e-10       3.566037984747e-14      -4.925015564256e-13       0.000000000000e+00       2.856895297621e-11       2.996975727861e-12      -1.047104590957e-14 
   66       2.380635442798e-10       3.727157694803e-14      -5.444708911968e-13       0.000000000000e+00       2.756444023002e-11       2.907379290669e-12      -1.039636037347e-14 
   67       2.412214677387e-10       3.891642820070e-14      -5.980948861274e-13       0.000000000000e+00       2.660642002509e-11       2.821007053433e-12      -1.033971082524e-14 
   68       2.444100108718e-10       4.059415184539e-14      -6.533804400208e-13       0.000000000000e+00       2.569368331238e-11       2.737958436767e-12      -1.029128082673e-14 
   69       2.476296291498e-10       4.230390367542e-14      -7.103357566595e-13       0.000000000000e+00       2.482401533112e-11       2.658272076531e-12      -1.023986841823e-14 
   70       2.508801833955e-10       4.404477612243e-14      -7.689704690220e-13       0.000000000000e+00       2.399414511023e-11       2.581922395599e-12      -1.017283236767e-14 
   71       2.541609034662e-10       4.581579734123e-14      -8.292957634986e-13       0.000000000000e+00       2.319969496986e-11       2.508816175617e-12      -1.007603841987e-14 
   72       2.574709518824e-10       4.761593080212e-14      -8.913156392769e-13       0.000000000000e+00       2.243630624824e-11       2.438827735391e-12      -9.937761158335e-15 
   73       2.608113206755e-10       4.944407601078e-14      -9.549984680987e-13       0.000000000000e+00       2.170337886295e-11       2.371919901757e-12      -9.761376117235e-15 
   74       2.641832347024e-10       5.129906627342e-14      -1.020300174461e-12       0.000000000000e+00       2.100096164160e-11       2.308040171813e-12      -9.555018126545e-15 
   75       2.675875617234e-10       5.317966731345e-14      -1.087172539902e-12       0.000000000000e+00       2.032861645542e-11       2.247081660233e-12      -9.327877500200e-15 
   76       2.710247897810e-10       5.508457636794e-14      -1.155563124821e-12       0.000000000000e+00       1.968539457523e-11       2.188880552461e-12      -9.090236596119e-15 
   77       2.744950045794e-10       5.701242128406e-14      -1.225415190302e-12       0.000000000000e+00       1.906981302742e-11       2.133213557905e-12      -8.853506376220e-15 
   78       2.779978668636e-10       5.896175961558e-14      -1.296667619942e-12       0.000000000000e+00       1.847983094979e-11       2.079795363127e-12      -8.630262966447e-15 
   79       2.815325897991e-10       6.093107771928e-14      -1.369254841665e-12       0.000000000000e+00       1.791282594761e-11       2.028276085040e-12      -8.434284216783e-15 
   80       2.850983576355e-10       6.291882368905e-14      -1.443112624495e-12       0.000000000000e+00       1.736624525571e-11       1.978326513531e-12      -8.277367625978e-15 
