# Matter power spectrum P(k) at redshift z=0
# for k=1.04889e-05 to 5.37596 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.195290267226e-02       2.324819633348e+04 
       2.208591720761e-02       2.319998924104e+04 
       2.221902252545e-02       2.315098363461e+04 
       2.235222045117e-02       2.310126353726e+04 
       2.248551285423e-02       2.305079122624e+04 
       2.261890164921e-02       2.299956711984e+04 
       2.275238879683e-02       2.294763048529e+04 
       2.288597630511e-02       2.289501905678e+04 
       2.301966623048e-02       2.284166286191e+04 
       2.315346067894e-02       2.278766783642e+04 
       2.328736180729e-02       2.273301708013e+04 
       2.342137182440e-02       2.267774219916e+04 
       2.355549299244e-02       2.262178055908e+04 
       2.368972762825e-02       2.256523286672e+04 
       2.382407810472e-02       2.250808178421e+04 
       2.395854685216e-02       2.245033129405e+04 
       2.409313635979e-02       2.239197731631e+04 
       2.422784917725e-02       2.233310945308e+04 
       2.436268791613e-02       2.227370826373e+04 
       2.449765525160e-02       2.221369255500e+04 
       2.463275392404e-02       2.215320572460e+04 
       2.476798674078e-02       2.209220440248e+04 
       2.490335657782e-02       2.203068607454e+04 
       2.503886638172e-02       2.196868985154e+04 
       2.517451917140e-02       2.190620677581e+04 
       2.531031804018e-02       2.184330250311e+04 
       2.544626615769e-02       2.177992219578e+04 
       2.558236677203e-02       2.171609933652e+04 
       2.571862321189e-02       2.165189001302e+04 
       2.585503888873e-02       2.158720356775e+04 
       2.599161729916e-02       2.152219597233e+04 
       2.612836202722e-02       2.145671324046e+04 
       2.626527674692e-02       2.139083382260e+04 
       2.640236522471e-02       2.132466354620e+04 
       2.653963132215e-02       2.125812411405e+04 
       2.667707899864e-02       2.119124178808e+04 
       2.681471231420e-02       2.112396687278e+04 
       2.695253543241e-02       2.105636724493e+04 
       2.709055262343e-02       2.098849542129e+04 
       2.722876826714e-02       2.092036328527e+04 
       2.736718685636e-02       2.085185972582e+04 
       2.750581300021e-02       2.078306641340e+04 
       2.764465142764e-02       2.071402683733e+04 
       2.778370699100e-02       2.064473470802e+04 
       2.792298466978e-02       2.057515428186e+04 
       2.806248957455e-02       2.050535820764e+04 
       2.820222695096e-02       2.043527871049e+04 
       2.834220218393e-02       2.036506471822e+04 
       2.848242080199e-02       2.029449616432e+04 
       2.862288848184e-02       2.022379153783e+04 
       2.876361105302e-02       2.015294303449e+04 
       2.890459450275e-02       2.008181018302e+04 
       2.904584498107e-02       2.001053855215e+04 
       2.918736880608e-02       1.993904353999e+04 
       2.932917246939e-02       1.986744410729e+04 
       2.947126264190e-02       1.979564361485e+04 
       2.961364617968e-02       1.972372212257e+04 
       2.975633013016e-02       1.965161369470e+04 
       2.989932173860e-02       1.957932845060e+04 
       3.004262845479e-02       1.950705847379e+04 
       3.018625794001e-02       1.943452532052e+04 
       3.033021807436e-02       1.936196875689e+04 
       3.047451696433e-02       1.928922533356e+04 
       3.061916295076e-02       1.921641940898e+04 
       3.076416461710e-02       1.914352368595e+04 
       3.090953079805e-02       1.907049444447e+04 
       3.105527058859e-02       1.899739270018e+04 
       3.120139335341e-02       1.892428213029e+04 
       3.134790873677e-02       1.885101379714e+04 
       3.149482667279e-02       1.877772919098e+04 
       3.164215739625e-02       1.870436345302e+04 
       3.178991145386e-02       1.863095441663e+04 
       3.193809971605e-02       1.855749837521e+04 
       3.208673338939e-02       1.848397944621e+04 
       3.223582402951e-02       1.841044790870e+04 
       3.238538355469e-02       1.833683412370e+04 
       3.253542426012e-02       1.826322165136e+04 
       3.268595883284e-02       1.818966082624e+04 
       3.283700036745e-02       1.811597046967e+04 
       3.298856238256e-02       1.804233031456e+04 
       3.314065883812e-02       1.796863958453e+04 
       3.329330415363e-02       1.789496582919e+04 
       3.344651322726e-02       1.782126014853e+04 
       3.360030145602e-02       1.774756551955e+04 
       3.375468475696e-02       1.767390578362e+04 
       3.390967958947e-02       1.760025975968e+04 
       3.406530297889e-02       1.752658139370e+04 
       3.422157254129e-02       1.745294900320e+04 
       3.437850650968e-02       1.737933894454e+04 
       3.453612376166e-02       1.730569256786e+04 
       3.469444384863e-02       1.723208449579e+04 
       3.485348702669e-02       1.715860203807e+04 
       3.501327428925e-02       1.708507759256e+04 
       3.517382740164e-02       1.701157845972e+04 
       3.533516893764e-02       1.693814197211e+04 
       3.549732231831e-02       1.686467521735e+04 
       3.566031185309e-02       1.679124401333e+04 
       3.582416278340e-02       1.671788470961e+04 
       3.598890132898e-02       1.664460705685e+04 
       3.615455473709e-02       1.657128489416e+04 
       3.632115133485e-02       1.649805374687e+04 
       3.648872058491e-02       1.642487346658e+04 
       3.665729314474e-02       1.635168646640e+04 
       3.682690092985e-02       1.627855363614e+04 
       3.699757718115e-02       1.620546340715e+04 
       3.716935653689e-02       1.613243938469e+04 
       3.734227510957e-02       1.605944076515e+04 
       3.751637056802e-02       1.598651834087e+04 
       3.769168222544e-02       1.591356186574e+04 
       3.786825113351e-02       1.584068709386e+04 
       3.804612018346e-02       1.576786870561e+04 
       3.822533421436e-02       1.569508514021e+04 
       3.840594012958e-02       1.562229690708e+04 
       3.858798702194e-02       1.554956076662e+04 
       3.877152630844e-02       1.547685818169e+04 
       3.895661187537e-02       1.540415454096e+04 
       3.914330023495e-02       1.533153868872e+04 
       3.933165069431e-02       1.525890618368e+04 
       3.952172553832e-02       1.518634599286e+04 
       3.971359022733e-02       1.511370762321e+04 
       3.990731361156e-02       1.504114366405e+04 
       4.010296816364e-02       1.496856070556e+04 
       4.030063023124e-02       1.489598647697e+04 
       4.050038031187e-02       1.482338413364e+04 
       4.070230335223e-02       1.475082076765e+04 
       4.090648907472e-02       1.467825240758e+04 
       4.111303233409e-02       1.460562620946e+04 
       4.132203350766e-02       1.453301187789e+04 
       4.153359892279e-02       1.446035401800e+04 
       4.174784132605e-02       1.438764321170e+04 
       4.196488039893e-02       1.431489953700e+04 
       4.218484332567e-02       1.424205802401e+04 
       4.240786541952e-02       1.416917257526e+04 
       4.263409081490e-02       1.409621171668e+04 
       4.286367323351e-02       1.402315502941e+04 
       4.309677683428e-02       1.395003690825e+04 
       4.333357715799e-02       1.387677940557e+04 
       4.357426217940e-02       1.380340433397e+04 
       4.381903348169e-02       1.372986124096e+04 
       4.406810757030e-02       1.365622040210e+04 
       4.432171734623e-02       1.358234519020e+04 
       4.458011376212e-02       1.350835812096e+04 
       4.484356768846e-02       1.343410169216e+04 
       4.511237202211e-02       1.335965538961e+04 
       4.538684407515e-02       1.328496741434e+04 
       4.566732828888e-02       1.320998933797e+04 
       4.595419932639e-02       1.313472815165e+04 
       4.624786560728e-02       1.305913952348e+04 
       4.654877336067e-02       1.298318798344e+04 
       4.685741128790e-02       1.290687800761e+04 
       4.717431594517e-02       1.283015566060e+04 
       4.750007797975e-02       1.275296112523e+04 
       4.783534938198e-02       1.267528344639e+04 
       4.818085195145e-02       1.259702931673e+04 
       4.853738722056e-02       1.251821630824e+04 
       4.890584813500e-02       1.243877336465e+04 
       4.928723286183e-02       1.235856742670e+04 
       4.968266118569e-02       1.227758973763e+04 
       5.009339406770e-02       1.219572573819e+04 
       5.052085708692e-02       1.211295976513e+04 
       5.096666866877e-02       1.202911248100e+04 
       5.143267424114e-02       1.194408578559e+04 
       5.192098775841e-02       1.185771474250e+04 
       5.243404241391e-02       1.176990277222e+04 
       5.297465283804e-02       1.168038014145e+04 
       5.354609166721e-02       1.158899062358e+04 
       5.415218407233e-02       1.149540330888e+04 
       5.479742463067e-02       1.139930972980e+04 
       5.548712172569e-02       1.130026986031e+04 
       5.622757524319e-02       1.119780222719e+04 
       5.702629320485e-02       1.109121865431e+04 
       5.789225111537e-02       1.097964977930e+04 
       5.883619217741e-02       1.086206055176e+04 
       5.987095339195e-02       1.073685071073e+04 
       6.101177540689e-02       1.060213045367e+04 
       6.227650288213e-02       1.045531650004e+04 
       6.368549573286e-02       1.029286723288e+04 
       6.526094800616e-02       1.011022870775e+04 
       6.702518963030e-02       9.901630520984e+03 
       6.899756583992e-02       9.660298281898e+03 
       7.118992148644e-02       9.379292114549e+03 
       7.360177974689e-02       9.053108899742e+03 
       7.621756417532e-02       8.680112556093e+03 
       7.900820715554e-02       8.264561550354e+03 
       8.193714995165e-02       7.817212639903e+03 
       8.496777609633e-02       7.353997158458e+03 
       8.806883474922e-02       6.893097983431e+03 
       9.121654706505e-02       6.451952034933e+03 
       9.439421088542e-02       6.044945016618e+03 
       9.759070815544e-02       5.682053463225e+03 
       1.007988917957e-01       5.368484135214e+03 
       1.040142679403e-01       5.104928869060e+03 
       1.072340496368e-01       4.888296592412e+03 
       1.104565230506e-01       4.712542690412e+03 
       1.136806396214e-01       4.569579841420e+03 
       1.169057597324e-01       4.450172368357e+03 
       1.201314938572e-01       4.344818776860e+03 
       1.233576049433e-01       4.244527649584e+03 
       1.265839487304e-01       4.141680007270e+03 
       1.298104373734e-01       4.030553677767e+03 
       1.330370173096e-01       3.907788119601e+03 
       1.362636558082e-01       3.772466423608e+03 
       1.394903327998e-01       3.625937235120e+03 
       1.427170359156e-01       3.471344763120e+03 
       1.459437574744e-01       3.313021257654e+03 
       1.491704926539e-01       3.155789357508e+03 
       1.523972383793e-01       3.004353470366e+03 
       1.556239926474e-01       2.862762383869e+03 
       1.588507541164e-01       2.734069942809e+03 
       1.620775218550e-01       2.620137635060e+03 
       1.653042951901e-01       2.521602195997e+03 
       1.685310736132e-01       2.437959008485e+03 
       1.717578567227e-01       2.367732057061e+03 
       1.749846441890e-01       2.308705340805e+03 
       1.782114357316e-01       2.258189532576e+03 
       1.814382311062e-01       2.213274057539e+03 
       1.846650300946e-01       2.171413163347e+03 
       1.878918324998e-01       2.130036154546e+03 
       1.911186381416e-01       2.086647964821e+03 
       1.943454468540e-01       2.039760669055e+03 
       1.975722584833e-01       1.988630849122e+03 
       2.007990728864e-01       1.933288979452e+03 
       2.040258899299e-01       1.874446487163e+03 
       2.072527094891e-01       1.813297478948e+03 
       2.104795314470e-01       1.751343775373e+03 
       2.137063556942e-01       1.690110368312e+03 
       2.169331821274e-01       1.631016839476e+03 
       2.201600106499e-01       1.575240332469e+03 
